,Name,POS,Dollars,IP,ERA,WHIP,K/9,QS,SV,HLD,K-BB%,PL Rank,Eno
150,José Leclerc,RP,-1.7791451437852601,60.033,3.93146,1.30964,10.2514,0.0,19.9604,5.98726,0.15592829883098602,,
151,Jason Foley,RP,-1.7846257819991047,60.9067,3.7460000000000004,1.3106,7.374739999999999,0.0,6.94022,13.3146,0.12640366703271866,,
152,Cristopher Sánchez,SP,-1.855148013109192,145.096,4.04408,1.24268,8.076419999999999,8.91052,0.00492222,0.257821,0.14328983426094055,,56.0
153,Tyler Rogers,RP,-1.9150433635589752,67.9365,3.9443,1.28741,6.70396,0.0,2.1535599999999997,17.9079,0.11198382824659348,,
154,Gregory Soto,RP,-1.9525749478915908,63.379,3.9554400000000003,1.3185799999999999,10.0037,0.0,3.62848,16.1538,0.15179592370986938,,
155,Robbie Ray,SP,-1.9837799470155344,49.7992,4.09623,1.24722,9.90554,3.57021,0.0,0.220442,0.18024595081806186,,81.0
156,Jeff Hoffman,RP,-2.077019369626885,63.2629,3.9440699999999995,1.26986,10.7554,0.0,4.089180000000001,11.2538,0.1788128763437271,,
157,Nick Lodolo,SP,-2.085083296793675,111.764,4.14651,1.25891,10.6249,7.50232,0.0,0.21915300000000001,0.19795116782188416,66.0,63.0
158,Alex Cobb,SP,-2.16610654135683,100.656,3.83875,1.29006,8.010819999999999,7.36522,0.0,0.175249,0.14271779358386993,,122.0
159,Pierce Johnson,RP,-2.182709284609841,56.5677,3.82776,1.30576,12.0212,0.0,1.4312799999999999,12.3294,0.2131829336285591,,
160,Griffin Canning,SP,-2.252472167852292,140.83700000000002,4.15928,1.24371,9.57652,8.904630000000001,0.0,0.0,0.1792452037334442,95.0,85.0
161,J.P. Feyereisen,RP,-2.2914620569798942,40.87,3.5595800000000004,1.24926,8.864310000000001,0.0,0.45721999999999996,9.00336,0.13465183228254318,,
162,Dylan Cease,SP,-2.3037594612468713,173.37599999999998,4.000430000000001,1.29141,10.3985,12.3188,0.0,0.0,0.17125622183084488,37.0,26.0
163,Phil Maton,RP,-2.3213522899951022,61.4809,3.86001,1.2438,10.0217,0.0,0.47658100000000003,10.3711,0.17549218237400055,,
164,Trevor Stephan,RP,-2.405129277300225,52.641000000000005,3.9373699999999996,1.26876,9.946819999999999,0.0,1.19805,12.3696,0.1724400296807289,,
165,Will Vest,RP,-2.4182517107097907,59.8696,3.7963699999999996,1.27215,9.49385,0.0,1.7969700000000002,11.0512,0.16944517195224762,,
166,Lance McCullers Jr.,SP,-2.4228427585552383,37.84,3.8039199999999997,1.30189,8.99803,2.68387,0.0,0.244784,0.1329333782196045,,133.0
167,Adam Ottavino,RP,-2.5185111223049232,60.4458,3.95744,1.31189,9.32317,0.0,4.19762,14.532,0.14069007337093353,,
168,Enyel De Los Santos,RP,-2.5369354166103357,61.5785,3.9348199999999998,1.2698,9.35267,0.0,0.379837,13.3903,0.15420309454202652,,
169,Gregory Santos,RP,-2.545982912344706,60.4085,3.7663599999999997,1.2851700000000001,9.09495,0.0,3.62236,10.6407,0.15923110395669934,,
170,Seranthony Domínguez,RP,-2.7273424983194,58.8835,3.98335,1.32486,9.47182,0.0,5.84874,14.1356,0.14624404907226562,,
171,Tyler Mahle,SP,-2.8167836277715814,38.7943,4.19805,1.24712,9.291939999999999,2.3841200000000002,0.0,0.449946,0.1630508154630661,,
172,Andrew Chafin,RP,-2.8785652221427696,55.6731,3.93836,1.3135299999999999,9.91922,0.0,2.7357299999999998,13.5841,0.15921278297901156,,
173,Ricky Tiedemann,SP,-2.911435847190573,53.3371,3.9930000000000003,1.29608,10.4982,3.1343900000000002,0.0,0.360996,0.1670759916305542,,159.0
174,Trevor Megill,RP,-2.9472728296386563,55.7749,3.9092300000000004,1.27292,11.622,0.0,2.51526,9.30535,0.21656184643507004,,
175,Tom Cosgrove,RP,-3.0938268418571093,55.7885,3.7682,1.25368,8.78917,0.0,0.741754,9.21925,0.13712690025568008,,
176,Drew Thorpe,SP,-3.1351307677354487,54.3431,4.05467,1.26047,8.38875,3.14016,0.0,0.0,0.1417384147644043,,
177,Josh Sborz,RP,-3.1506289058905823,58.351000000000006,4.20624,1.2775299999999998,10.9267,0.0,2.03341,13.7488,0.19474151730537412,,
178,Matt Moore,RP,-3.2059505689572445,57.981,3.98138,1.3256,9.756689999999999,0.0,1.2163700000000002,15.4358,0.15484550595283508,,
179,Wandy Peralta,RP,-3.3615782610402736,54.8419,3.66232,1.32692,8.45952,0.0,1.5206600000000001,11.9206,0.11637769639492035,,
180,JT Chargois,SP/RP,-3.420360254426264,54.4187,4.10051,1.34151,8.07687,0.0,0.5237729999999999,8.25548,0.1154073253273964,,
181,Steven Okert,RP,-3.429904607489332,50.8034,4.06115,1.2528700000000002,10.9342,0.0,0.29788000000000003,10.4548,0.1898287609219551,,
182,Anthony Bender,RP,-3.477315301086106,48.0262,3.90104,1.27769,9.189219999999999,0.0,2.95312,9.69196,0.1513497531414032,,
183,Brennan Bernardino,SP/RP,-3.5634606874296555,51.4649,3.9972800000000004,1.3605,9.40611,0.0,0.057546900000000005,6.769239999999999,0.1518610715866089,,
184,Garrett Cleavinger,RP,-3.5767341540856834,43.118,3.5740300000000005,1.24804,11.4084,0.0,0.0493093,5.07989,0.18904586881399155,,
185,Taj Bradley,SP,-3.579305587417453,129.252,4.1689,1.24993,9.5157,6.71518,0.0,0.22078699999999998,0.1717914417386055,64.0,52.0
